name,company,location,salary,industry,type,skills
Video Producer @ TripCanvas,TripCanvas,Malaysia,Negotiated,Marketing,Full-Time | Part-Time | Contract,videography | video editing | adobe premiere pro | filming | video producer
Junior React Native Developer,Upstack Studio,Malaysia,1000 - 1500 SGD,Front-End Developers,Full-Time,Javascript | Github | Git | ES6 | JSX | REST API | React Native Navigation | React Navigation | Xcode | Android Studio | Redux Saga | Redux | ReactJS | React Native
Junior Ruby on Rails Developer,Upstack Studio,Malaysia,1000 - 1500 SGD,Full-stack Developer,Full-Time,Acceptance Testing | Unit Test | Bootstrap | API | Github | Git | Javascript | Sass | Haml | TDD | Capybara | Rspec | Ruby | Ruby on Rails
"Product Development Executive | Ecommerce | East | Up to $3,000",Digimatic Media Pte Ltd,Singapore,2400 - 3000 SGD,Others,Full-Time,Motivated | Independent | Organized | Multi-task | Efficient
Digital Marketing at Internet Startup,RESERVATIONS dot SG PTE LTD,Singapore,Negotiated,Marketing,Full-Time | Part-Time | Internship | Contract,social media | marketing | digital marketing
Sales at Internet Startup,RESERVATIONS dot SG PTE LTD,Singapore,Negotiated,Business Development,Full-Time | Part-Time | Contract,Project Management | Business Development
Digital Marketing Manager Featured,Oriental Eagle Pte Ltd,Singapore,Negotiated,Marketing,Full-Time,SEO | Social Media | Content Marketing | Google Analytics | SEM | CMS | Marketing Automation | CRM | A/B test
Project Lead to Make a Real Impact Featured,Buy1GIVE1 Pte Ltd,Singapore,2800 - 3800 SGD,Project Management,Full-Time,"Problem Solver | Fast Learner of New Systems | Competent with Keynote/Powerpoint, Word, Excel | Great writing and communication skills"
Marketing intern,EasyWork Asia Sdn. Bhd.,Malaysia,200 - 200 USD,Marketing,Internship,microsoftword | excel
Full Stack Developer,PahangGo,Malaysia,660 - 2350 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Laravel | MySql | GIT | JSON | RestAPI | Javascript | HTML | PHP
Compliance and Settlement Executive,Fundnel Pte Ltd,Singapore,3000 - 4000 SGD,Corporate Support | Customer Service | Others,Full-Time,cft | aml | kyc | settlement | compliance
Operations and Human Resource Executive,Fundnel Pte Ltd,Singapore,3000 - 3500 SGD,Corporate Support | Customer Service | Others,Full-Time,human resources | hr | operations
